Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;RIO BRANCO;AUTO POSTO CIDADE - EIRELI; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;DIESEL;07/01/2009;2,42;2,1839;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;GASOLINA;07/01/2009;2,92;2,493;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;ETANOL;07/01/2009;2,09;1,852;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;DIESEL;07/01/2009;2,44;2,1806;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO J C LTDA - EPP; 04.513.855/0001-77;RUA ISAURA PARENTE;671;;BOSQUE;69908-210;GASOLINA;06/01/2009;2,92;2,4797;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO J C LTDA - EPP; 04.513.855/0001-77;RUA ISAURA PARENTE;671;;BOSQUE;69908-210;ETANOL;06/01/2009;2,06;1,8464;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO J C LTDA - EPP; 04.513.855/0001-77;RUA ISAURA PARENTE;671;;BOSQUE;69908-210;DIESEL;06/01/2009;2,45;2,1669;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;W & A COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.011.528/0001-42;RUA MARECHAL DEODORO DA FONSECA;1040;;BOSQUE;69903-341;GASOLINA;07/01/2009;2,9;;R$ / litro;CBPI
N;AC;RIO BRANCO;W & A COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.011.528/0001-42;RUA MARECHAL DEODORO DA FONSECA;1040;;BOSQUE;69903-341;ETANOL;07/01/2009;2,1;;R$ / litro;CBPI
N;AC;RIO BRANCO;W & A COMÉRCIO DE COMBUSTÍVEIS LTDA.; 06.011.528/0001-42;RUA MARECHAL DEODORO DA FONSECA;1040;;BOSQUE;69903-341;DIESEL;07/01/2009;2,46;;R$ / litro;CBPI
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0002-82;ESTRADA JARBAS PASSARINHO;115;;PLACAS;69900-970;GASOLINA;07/01/2009;2,9;2,498;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0002-82;ESTRADA JARBAS PASSARINHO;115;;PLACAS;69900-970;ETANOL;07/01/2009;2,1;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0002-82;ESTRADA JARBAS PASSARINHO;115;;PLACAS;69900-970;DIESEL;07/01/2009;2,44;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO CORRENTAO LTDA; 06.189.982/0001-98;RODOVIA BR-364 (RIO BRANCO-PORTO VELHO);4773;;SANTA INES;69907-701;GASOLINA;06/01/2009;2,88;2,3452;R$ / litro;RAIZEN
N;AC;RIO BRANCO;AUTO POSTO CORRENTAO LTDA; 06.189.982/0001-98;RODOVIA BR-364 (RIO BRANCO-PORTO VELHO);4773;;SANTA INES;69907-701;ETANOL;06/01/2009;1,99;;R$ / litro;RAIZEN
N;AC;RIO BRANCO;AUTO POSTO CORRENTAO LTDA; 06.189.982/0001-98;RODOVIA BR-364 (RIO BRANCO-PORTO VELHO);4773;;SANTA INES;69907-701;DIESEL;06/01/2009;2,48;2,1178;R$ / litro;RAIZEN
N;AC;RIO BRANCO;AUTO POSTO CANINDÉ LTDA.; 05.442.544/0001-27;RODOVIA AC -40;3206;KM - 07;ZONA RURAL - VILA ACRE;69902-450;GASOLINA;07/01/2009;2,9;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CANINDÉ LTDA.; 05.442.544/0001-27;RODOVIA AC -40;3206;KM - 07;ZONA RURAL - VILA ACRE;69902-450;ETANOL;07/01/2009;2,09;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO CANINDÉ LTDA.; 05.442.544/0001-27;RODOVIA AC -40;3206;KM - 07;ZONA RURAL - VILA ACRE;69902-450;DIESEL;07/01/2009;2,45;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GASOLINA;06/01/2009;2,92;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;ETANOL;06/01/2009;2,06;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;DIESEL;06/01/2009;2,45;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0001-42;VIA CHICO MENDES;711;;VILA DNER;69906-150;GASOLINA;07/01/2009;2,9;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
